    New chain ID            Original chain ID

4ybb-pdb-bundle1.pdb:
           A                        AA
           B                        AB
           C                        AC
           D                        AD
           E                        AE
           F                        AF
           G                        AG
           H                        AH
           I                        AI
           J                        AJ
           K                        AK
           L                        AL
           M                        AM
           N                        AN
           O                        AO
           P                        AP
           Q                        AQ
           R                        AR
           S                        AS
           T                        AT
           U                        AU
           V                        BA
           W                        BB
           X                        BC
           Y                        BD
           Z                        BE
           a                        BF
           b                        BG
           c                        BH
           d                        BI
           e                        BJ
           f                        BK
           g                        BL
           h                        BM

4ybb-pdb-bundle2.pdb:
           A                        BN
           B                        BO
           C                        BP
           D                        BQ
           E                        BR
           F                        BS
           G                        BT
           H                        BU
           I                        CA
           J                        CB
           K                        CC
           L                        CD
           M                        CE
           N                        CF
           O                        CG
           P                        CH
           Q                        CJ
           R                        CK
           S                        CL
           T                        CM
           U                        CN
           V                        CO
           W                        CP
           X                        CQ
           Y                        CR
           Z                        CS
           a                        CT
           b                        CU
           c                        CV
           d                        CW
           e                        CX
           f                        CY
           g                        CZ
           h                        C0
           i                        C1
           j                        C2
           k                        C3
           l                        C4
           m                        C5

4ybb-pdb-bundle3.pdb:
           A                        DA
           B                        DB
           C                        DC
           D                        DD
           E                        DE
           F                        DF
           G                        DG
           H                        DH
           I                        DI
           J                        DJ
           K                        DK
           L                        DL
           M                        DM
           N                        DN
           O                        DO
           P                        DP
           Q                        DQ
           R                        DR
           S                        DS
           T                        DT
           U                        DU
           V                        DV
           W                        DW
           X                        DX
           Y                        DY
           Z                        DZ
           a                        D0
           b                        D1
           c                        D2
           d                        D3
           e                        D4
           f                        D5
